,V1,V2
1,0,0
2,0,1162
3,0,1120
4,1,1
5,1,23
6,1,6178
7,2,2
8,2,1139
9,2,1172
10,3,3
11,4,4
12,4,1345
13,5,5
14,5,1236
15,5,4267
16,5,5404
17,6,6
18,6,103
19,7,7
20,7,1144
21,8,8
22,8,286
23,8,1538
24,9,9
25,10,10
26,10,1193
27,10,203
28,11,11
29,11,544
30,11,1142
31,12,12
32,12,1145
33,12,566
34,12,735
35,13,13
36,13,1462
37,14,14
38,14,690
39,14,1243
40,14,1320
41,15,15
42,16,16
43,16,1131
44,16,73
45,16,1304
46,17,17
47,18,18
48,18,1103
49,18,28
50,19,19
51,20,20
52,20,1346
53,21,21
54,21,584
55,22,22
56,22,703
57,23,23
58,23,1
59,23,600
60,23,1210
61,24,24
62,24,764
63,25,25
64,25,635
65,25,1264
66,25,1112
67,25,829
68,26,26
69,26,51
70,27,27
71,27,731
72,28,28
73,28,547
74,28,18
75,29,29
76,29,1194
77,29,1151
78,30,30
79,30,675
80,30,130
81,31,31
82,31,1167
83,31,1205
84,32,32
85,32,563
86,32,89
87,33,33
88,33,1436
89,33,92
90,33,111
91,34,34
92,35,35
93,35,46
94,36,36
95,37,37
96,37,1277
97,37,155
98,38,38
99,38,1171
100,38,139
101,38,1218
102,38,1559
103,39,39
104,39,117
105,39,6634
106,40,40
107,41,41
108,41,44
109,41,1232
110,41,1315
111,41,1277
112,42,42
113,43,43
114,43,1113
115,43,1160
116,44,44
117,44,41
118,44,104
119,45,45
120,45,340
121,46,46
122,46,35
123,47,47
124,47,253
125,47,1186
126,48,48
127,48,71
128,49,49
129,49,1151
130,49,1222
131,50,50
132,50,1346
133,50,106
134,51,51
135,51,26
136,52,52
137,52,540
138,52,1544
139,52,138
140,52,742
141,53,53
142,53,2316
143,54,54
144,54,280
145,54,124
146,55,55
147,55,1245
148,55,648
149,56,56
150,56,1189
151,57,57
152,57,1185
153,58,58
154,58,1128
155,58,6099
156,58,1142
157,58,6185
158,59,59
159,59,1118
160,59,6748
161,60,60
162,60,1284
163,60,1214
164,61,61
165,62,62
166,62,82
167,62,142
168,62,1462
169,63,63
170,64,64
171,65,65
172,65,1182
173,65,1513
174,65,89
175,65,1438
176,66,66
177,67,67
178,67,698
179,68,68
180,69,69
181,69,314
182,70,70
183,70,4965
184,71,71
185,71,48
186,71,759
187,72,72
188,72,1206
189,72,609
190,72,94
191,72,1109
192,73,73
193,73,1131
194,73,1195
195,73,16
196,74,74
197,74,1494
198,74,1435
199,74,306
200,75,75
201,75,1625
202,76,76
203,76,1133
204,76,1195
205,76,1758
206,77,77
207,78,78
208,78,583
209,78,1121
210,79,79
211,79,988
212,80,80
213,80,1278
214,80,1192
215,80,1345
216,81,81
217,82,82
218,82,62
219,82,1090
220,83,83
221,84,84
222,84,1112
223,85,85
224,86,86
225,86,265
226,87,87
227,87,190
228,88,88
229,88,528
230,89,89
231,89,65
232,89,1095
233,90,90
234,90,1267
235,91,91
236,92,92
237,92,111
238,92,33
239,92,1436
240,93,93
241,93,1356
242,93,613
243,94,94
244,94,609
245,94,1309
246,94,72
247,95,95
248,95,1159
249,95,1212
250,96,96
251,96,20
252,96,1491
253,97,97
254,98,98
255,98,1526
256,99,99
257,99,595
258,99,196
259,100,100
260,100,157
261,101,101
262,101,6286
263,102,102
264,102,235
265,102,833
266,103,103
267,103,1512
268,103,6
269,104,104
270,104,1538
271,104,44
272,104,359
273,104,286
274,105,105
275,106,106
276,106,1380
277,106,50
278,107,107
279,108,108
280,108,1541
281,109,109
282,109,1113
283,110,110
284,111,111
285,111,1216
286,111,92
287,111,33
288,112,112
289,112,1321
290,113,113
291,113,739
292,114,114
293,115,115
294,115,3161
295,116,116
296,116,1105
297,117,117
298,117,1176
299,117,6634
300,117,39
301,117,601
302,118,118
303,118,1123
304,118,1269
305,118,618
306,118,601
307,119,119
308,119,138
309,120,120
310,121,121
311,121,1153
312,121,1132
313,121,124
314,121,1152
315,122,122
316,123,123
317,123,1143
318,124,124
319,124,1394
320,124,54
321,124,121
322,125,125
323,126,126
324,126,253
325,127,127
326,127,718
327,128,128
328,129,129
329,129,748
330,129,1164
331,129,240
332,129,516
333,130,130
334,130,30
335,131,131
336,132,132
337,132,50
338,133,133
339,133,4865
340,134,134
341,134,1586
342,135,135
343,135,533
344,135,668
345,136,136
346,136,1208
347,137,137
348,137,582
349,137,163
350,138,138
351,138,119
352,138,52
353,139,139
354,139,1171
355,139,38
356,139,1225
357,139,1218
358,140,140
359,140,57
360,141,141
361,141,1203
362,141,148
363,142,142
364,142,62
365,143,143
366,144,144
367,144,1349
368,144,715
369,145,145
370,146,146
371,146,614
372,147,147
373,147,1145
374,147,926
375,147,676
376,148,148
377,148,1293
378,148,150
379,148,141
380,149,149
381,149,712
382,150,150
383,150,2316
384,150,148
385,150,1293
386,151,151
387,151,1325
388,152,152
389,153,153
390,153,1228
391,154,154
392,154,1197
393,154,1284
394,154,1217
395,155,155
396,155,37
397,155,1145
398,156,156
399,157,157
400,157,100
401,158,158
402,158,1194
403,159,159
404,159,1304
405,160,160
406,160,1146
407,160,625
408,161,161
409,161,324
410,161,1511
411,161,900
412,161,1404
413,162,162
414,162,624
415,163,163
416,163,1471
417,163,137
418,164,164
419,164,574
420,165,165
421,166,166
422,167,167
423,167,6070
424,167,6129
425,167,6258
426,168,168
427,168,320
428,168,770
429,169,169
430,169,231
431,170,170
432,171,171
433,171,180
434,171,1414
435,171,6292
436,172,172
437,172,1280
438,173,173
439,173,1466
440,173,817
441,174,174
442,175,175
443,175,304
444,176,176
445,176,1332
446,177,177
447,177,648
448,177,1224
449,178,178
450,179,179
451,179,1607
452,179,1652
453,180,180
454,180,171
455,180,1414
456,181,181
457,181,527
458,181,289
459,181,1370
460,181,222
461,182,182
462,183,183
463,183,1397
464,183,256
465,184,184
466,184,1115
467,185,185
468,185,378
469,186,186
470,187,187
471,188,188
472,188,1309
473,189,189
474,189,283
475,190,190
476,190,87
477,191,191
478,191,1524
479,192,192
480,192,1160
481,193,193
482,193,1236
483,193,1900
484,194,194
485,194,1416
486,194,247
487,195,195
488,195,223
489,195,893
490,195,539
491,196,196
492,196,270
493,196,99
494,196,1230
495,197,197
496,197,1249
497,197,1278
498,198,198
499,198,1413
500,198,1118
501,198,1140
502,199,199
503,200,200
504,201,201
505,202,202
506,202,695
507,203,203
508,203,659
509,203,10
510,203,1206
511,203,563
512,204,204
513,204,317
514,204,1615
515,204,1657
516,204,1574
517,205,205
518,205,1271
519,206,206
520,206,450
521,207,207
522,207,267
523,207,512
524,207,1165
525,207,750
526,208,208
527,208,1378
528,208,1281
529,209,209
530,209,315
531,210,210
532,211,211
533,211,1600
534,211,3120
535,212,212
536,213,213
